prev_trade_id,symbol,strategy,entry_type,direction,entry_date,entry_timestamp,instrument_type,quantity,entry_price,stop_price,exit_price,exit_date,exit_timestamp,capital_required,trade_duration,winning_trade,risk_reward,risk_per_trade,perc_return,risk_size
380,TSLA,level bounce,,bearish,2024-12-23,10:01:55,stock,40,425.61,428.11,416.00,2024-12-23,,17024.570,0.00,1,3.85,0.50,1.92,100.00
382,TSLA,cib,,bullish,2024-12-23,10:32:19,stock,70,425.68,424.26,433.00,2024-12-23,,29797.900,0.00,1,5.12,0.50,2.56,100.00
383,SNOW,level bounce,,bullish,2024-12-23,10:38:10,stock,150,161.94,161.27,161.11,2024-12-23,,24290.510,0.00,0,-1.24,0.50,-0.62,100.00
386,TSLA,cib,,bullish,2024-12-23,14:23:53,stock,100,433.65,432.65,432.59,2024-12-23,,43365.000,0.00,0,-1.06,0.50,-0.53,100.00
387,NVDA,level break,,bearish,2025-01-07,09:32:27,stock,200,151.44,152.40,143.41,2025-01-07,,30287.120,0.00,1,8.33,0.96,8.03,193.00
388,TSLA,level bounce,,bullish,2025-01-07,13:00:06,stock,100,395.01,394.01,395.01,2025-01-07,,39501.000,0.00,1,0.00,0.50,0.00,100.00
389,NVDA,level bounce,,bullish,2025-01-08,09:59:24,stock,200,143.04,142.50,142.49,2025-01-08,,28608.000,0.00,0,-1.02,0.54,-0.55,108.00
390,COIN,level bounce,,bullish,2025-01-08,10:28:06,stock,90,258.00,257.00,256.73,2025-01-08,,23220.000,0.00,0,-1.27,0.45,-0.57,90.00
391,NVDA,level bounce,,bullish,2025-01-08,11:25:47,stock,150,140.51,139.81,139.80,2025-01-08,,21076.010,0.00,0,-1.01,0.52,-0.53,105.00
393,QQQ,cib,,bullish,2025-01-13,14:00:14,stock,500,504.32,504.10,504.05,2025-01-13,,252157.520,0.00,0,-1.23,0.54,-0.66,108.00
394,RDDT,cib,,bullish,2025-01-13,14:29:41,stock,280,161.46,161.00,164.15,2025-01-13,,45208.210,0.00,1,5.88,0.64,3.77,128.00
395,NVDA,level bounce,,bullish,2025-01-14,10:26:27,stock,400,133.34,133.00,132.99,2025-01-14,,53334.010,0.00,0,-1.03,0.50,-0.51,134.00
396,TSLA,level break,,bearish,2025-01-14,11:00:27,stock,100,407.25,408.60,407.10,2025-01-14,,40724.850,0.00,1,0.11,0.50,0.05,135.00
401,NVDA,cib,,bullish,2025-01-15,10:00:00,stock,675,133.61,133.41,134.92,2025-01-15,,90188.220,0.00,1,6.56,0.50,3.28,135.00
402,TSLA,cib,,bullish,2025-01-15,12:00:08,stock,100,417.45,416.20,425.85,2025-01-15,,41745.000,0.00,1,6.72,0.46,3.11,125.00
